show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s628,Movie,The Real Rebel: The Erin Brockovich Story,,,,"June 11, 2021",2021,,,News,"You’ve seen the movie. You’ve seen the TV series. Now, hear Erin Brockovich tell the real story."
s629,TV Show,House Rules,,,,"June 10, 2021",2020,,1 Season,Reality,"Eight couples put their most important possession – their homes – on the line, for a huge, life-changing cash prize. In Season Eight, the couples’ first task is to renovate a penthouse apartment, following five house rules created by the judges. Over two sets of rounds, two couples are eliminated. The six remaining couples then travel around the country to completely renovate each other’s homes. Every week, one couple hands over the keys of their home to their competitors, to transform every room in their house in seven days – in any way they want. renovation in seven days. Each homeowner issues their own set of ‘House Rules’ – a list of do’s and don’ts. But rules are meant to be broken! How far can each team go to transform their homes? Will the teams return to a dream house or to their worst nightmare? A group of home professionals – British design star Laurence Llewelyn-Bowen, interior designer Kyly Clarke and home builder Saul Myers – and the homeowners judge the results."
s630,TV Show,MasterChef,,,United States,"June 10, 2021",2010,TV-PG,11 Seasons,"Cooking & Food, Family, Lifestyle & Culture","A culinary competition series that searches for the best home cooks in America, and through a series of exciting elimination rounds, will turn one of them into a culinary master."
s631,TV Show,Sarah Beeny's Renovate Don't Relocate,,,,"June 10, 2021",2019,,1 Season,"International, Reality","Expert developer and TV host Sarah Beeny comes to the aid of homeowners living in a property that no longer works for them. From newlyweds and new parents, to people who work from home, she shows them how a little design know-how can improve their lifestyle, save them money and prevent them having to move home."
s632,TV Show,The Great House Revival,,,,"June 10, 2021",2018,,2 Seasons,"Lifestyle & Culture, Reality","Presented by architect Hugh Wallace, this charming series follows six homeowners in Ireland as they try to restore and transform their derelict properties into comfortable homes fit for the 21st century – while saving a piece of the country’s architectural heritage."
s633,Movie,Trust,,,,"June 10, 2021",2021,,94 min,"Drama, Romance","In this sexy and twisty ride, New York gallery owner Brooke and her husband Owen each face exceptional temptations, with most unexpected results."
s634,Movie,Two of Us,,,,"June 10, 2021",2019,,95 min,"Drama, International, LGBTQ+","Two retired women, Nina and Madeleine, have been secretly in love for decades. Everybody thinks they are simply neighbors, sharing the top floor of their building, until an unforeseen event tests their relationship."
s635,TV Show,Lego Masters,,,United States,"June 9, 2021",2020,TV-G,2 Seasons,"Game Shows, Reality",Twelve teams of two compete against each other in ambitious brick-building challenges to be crowned the country's most talented amateur LEGO builders.
s636,Movie,The Croods: A New Age,,,,"June 9, 2021",2020,PG,95 min,"Action, Adventure, Comedy","In search of a new home, the Croods encounter the more sophisticated Betterman family. A new threat forces the two families to set aside their differences to avoid extinction."
s637,TV Show,Hell's Kitchen,,,United States,"June 8, 2021",2005,TV-14,11 Seasons,"Cooking & Food, Family, Lifestyle & Culture",An unscripted culinary boot camp that features the drama of aspiring restaurateurs competing for world-renowned Chef Gordon Ramsay’s approval and the chance to become America’s next culinary star.
s638,TV Show,Killer Women with Piers Morgan,,,,"June 8, 2021",2017,TV-14,2 Seasons,"Crime, Documentaries","Killer Women with Piers Morgan explores the world of female killers, digging in on motives and reasons why they ultimately commit the crime of murder."
s639,Movie,The American Royal Baby,,,,"June 7, 2021",2021,,,News,An insider's look at the life Prince Harry and Meghan Markle's new daughter has as the first American born into the senior British Royal family in the U.S.
s640,TV Show,The Chase,,,United States,"June 7, 2021",2021,TV-PG,1 Season,"Game Shows, Reality","A heart-racing quiz show where three competitors face off against the Chaser, a ruthless quiz genius determined to stop them from winning cash prizes. Each episode is a fast-paced battle of brainpower, where contestants are challenged to think faster than they ever thought possible to answer up to 166 questions across all topics."
s641,TV Show,The Insider: Reggie Yates,,,,"June 7, 2021",2016,,2 Seasons,"Crime, Documentaries",The Insider sees TV presenter Reggie Yates live life for real inside some of the world’s most brutal institutions.
s642,TV Show,Tom Kerridge's American Feast,,,,"June 7, 2021",2019,,1 Season,Documentaries,"The USA has given us some of the most famous foods on the planet. But beyond popcorn, burgers and hot dogs, how much do we really know about American cuisine? In this 10-part series, top chef Tom Kerridge travels from coast to coast across America to find the country’s best kept food secrets. From comforting pancakes and maple syrup in Vermont to meaty tacos in Tucson, this is an exciting culinary adventure to unearth the United States’ best recipes and flavours. Travelling East to West, Tom’s journey captures the heart and soul of American food. From rustling up conch fritters in the Florida Keys and sampling soul food in Oakland to cooking up mountain elk in Colorado – each sizzling episode will feature stunning locations and iconic American cuisine. Every show, Tom will experience delicious dishes with the help of local chefs and home-grown cooks. Whether they’re a street food extraordinaire or a high-end restaurateur, Tom will bring out their captivating personal stories. We’ll see him gathering ingredients out in the Tucson desert, fishing in the Florida Keys, sculpting pierogi in Pittsburgh’s Polish district, and foraging along the California coastline – in each place delving into the fascinating histories of each area’s distinctive cuisine. In each episode he’ll take all he’s learned back to his studio kitchen, combining it with two decades of experience in Britain’s best kitchens, to create mouth-watering dishes that you can make at home. Iconic locations and flavour-packed recipes, Tom Kerridge’s American Feast is a taste-bud tickling adventure into some of the world’s best-loved foods."
s643,TV Show,Little Birds,,,,"June 6, 2021",2020,,1 Season,"Drama, Romance","“Little Birds” follows New York heiress Lucy Savage (Juno Temple) fresh off the transatlantic steamer and ready for love and marriage in exotic climes. But when her husband Hugo (Hugh Skinner) does not receive her in the way she expected, she spins off into the surprising, diverse and degenerate world of Tangier in 1955. Period drama about an ingénue abroad this is not. Instead, “Little Birds” is a modern tale of a woman losing and then finding herself down a mesmerizing rabbit hole. What Lucy discovers is a world in flux, a country quivering on the cusp of independence, populated by a myriad of characters including a provocative dominatrix, Cherifa Lamor (Yumna Marwan) who particularly captures Lucy’s imagination. “Little Birds” is a bold and subversive re-invention of melodrama for our times that takes the audience on a witty, moving and provocative journey towards freedom and independence."
s644,TV Show,The Kings,,,,"June 6, 2021",2021,,1 Season,"Documentaries, Sports","A four-part series showcasing four champions who ushered in a boxing renaissance. As the recession of the late 70s gave way to the capitalism of the 80s, the underrepresented yearned for someone to fight for them. Amidst this backdrop, Roberto Duran, Marvelous Marvin Hagler, Thomas Hearns and Sugar Ray Leonard became the people?s champions and revitalized the sport of boxing. Through in-depth interviews and archival footage, the series showcases their incredible achievements in the ring as well as their personal battles outside of it."
s645,Movie,Juan Luis Guerra 4.40: Entre Mar y Palmeras,,,,"June 4, 2021",2021,TV-PG,,"Documentaries, International, Latino",Juan Luis Guerra and his band perform a mix of new and classic hits in this concert from the Dominican Republic. Premieres June 3.
s646,TV Show,Quest for the Stanley Cup,,,,"June 4, 2021",2018,,4 Seasons,"Documentaries, Sports","A seven-part, behind-the-scenes docuseries following teams as they pursue the Stanley Cup."
s647,Movie,A Glitch in the Matrix,,,,"June 3, 2021",2021,,109 min,Documentaries,"Are we living in a simulation? Filmmaker Rodney Ascher (ROOM 237, THE NIGHTMARE) wrestles with this existential question in his latest documentary, a multimedia journey that's part sci-fi mind-scrambler, part true-crime horror story."
s648,Movie,Night of the Kings,,,,"June 3, 2021",2020,TV-MA,93 min,"Drama, International","A young man is sent to a prison in the middle of the Ivorian forest ruled by its inmates. As tradition goes with the rising of the red moon, he is designated by the Boss to be the new “Roman” and must tell a story to the other prisoners."
s649,TV Show,America's Got Talent,,,United States,"June 2, 2021",2006,TV-14,1 Season,"Family, Music, Reality",America votes in the ultimate talent show to determine which act deserves a million dollars.
s650,TV Show,E60,,,,"June 2, 2021",2017,,2 Seasons,"Documentaries, Sports",ESPN's award-winning primetime news magazine show featuring the biggest names and the best stories in sports.
s651,TV Show,American Ninja Warrior,,,United States,"June 1, 2021",2012,TV-PG,1 Season,"Action, Adventure, Family","American competitors face the world's most difficult obstacle course in Japan for the chance to win $500,000."
s652,Movie,Bloody Sunday,,,,"June 1, 2021",2002,R,111 min,"Drama, History","Paul Greengrass' ""magnetic and impassioned""* drama is a ""staggering re-creation""** of the events of Sunday, January 30th, 1972 when British troops clashed with unarmed protestors in Derry, Northern Ireland."
s653,Movie,Changing the Game,,,,"June 1, 2021",2021,TV-14,91 min,Documentaries,"CHANGING THE GAME takes us into the lives of three high school athletes – all at different stages of their athletic seasons, personal lives, and unique paths as transgender teens."
s654,TV Show,Drag SOS,,,,"June 1, 2021",2019,,1 Season,Reality,"Narrated by Hugh Bonneville (Downton Abbey), this outrageous and emotional series follows inspiring drag queens Cheddar Gorgeous and Anna Phylactic along with their authentic drag family as they embark on their first ever glamorous national road trip. Their aim: To unleash Britain’s inner drag – and help ordinary Brits go on a voyage of self-discovery as they transform into a bigger, better, drag-enhanced version of themselves. Funny, glamorous and razor sharp drag queens Cheddar Gorgeous, Anna Phylactic and The Family live in Manchester where they host the monthly “Cha Cha Boudoir,” and teach unconfident and uncertain guests how to dress, make up and unleash their inner diva, a journey they’ve made themselves. Drag is about finding your most glamorous route to self-confidence and The Family tours Britain in their bus to work with people with their own stories to tell. Can they convince the unconstructed man, the downtrodden woman, and the anxious teenager to come together and unleash a new side of themselves? Each show sees them work within a community, leading to a huge lip sync performance, in front of family, friends and the locals from the town who witness a transformation they could never have imagined."
s655,Movie,Fun in Acapulco,,,United States,"June 1, 2021",1963,PG,97 min,"Comedy, Music",Fun In Acapulco portrays Elvis as a sexy lifeguard by day who transforms himself into a popular entertainer at night by singing at a local Mexican resort.
s656,Movie,Hanging Up,,,,"June 1, 2021",2000,PG-13,95 min,Comedy,"Moving comedy/drama about three sisters (Diane Keaton, Meg Ryan, Lisa Kudrow) and their relationship with their irascible father (Walter Matthau). Screenplay by Nora & Delia Ephron. Directed by Keaton."
s657,TV Show,HouseBroken,,,,"June 1, 2021",2021,TV-PG,1 Season,"Adult Animation, Comedy, Sitcom","""HouseBroken"" is an animated series following a group of neighborhood pets and stray animals as they work through their issues inside and outside their therapy group. Honey, a standard poodle, opens her living room for the group to come and support each other through the misery, mayhem and majesty that is being a pet. Honey also struggles with her own problems, such as her arranged (by her human) marriage with Chief, a sloppy St. Bernard who enjoys eating socks and licking himself. The group includes Shel, a sex-positive tortoise with intimacy issues and a knack for choosing unconventional partners; Tabitha, an aging Persian cat beauty queen, trying to adjust to life off the cat show circuit; The Gray One, a street smart cat who lives with about 30 other cats and has his one eye on Tabitha; Chico, a chonky, co-dependent and very naive cat; and the group's newest member, Diablo, an anxious, sweater-wearing terrier who has an obsessive compulsive disorder."
s658,Movie,Hud,,,United States,"June 1, 2021",1963,TV-14,112 min,"Action, Adventure, Drama","Life is hard on a Texas ranch, and the owner is not helped by his arrogant ne'er-do-well son, who is a bad influence on the household. The winner of 3 Academy Awards including Best Actress."
s659,TV Show,Inside Missguided,,,,"June 1, 2021",2020,,1 Season,Reality,"Nitin Passi, CEO and Founder of Britain’s fastest growing fashion brand, has set his sights on becoming the first British Asian Billionaire. To get there, he and his predominantly all-female workforce must take risks. But after eight years of enormous success, Missguided crashed. They lost £26 million in 2018 and Nitin is now spending more than ever before to bring his business back to glory. This is an exploration of one of the UK’s fastest growing and most profitable industries: fast fashion. An industry that’s dominated by young entrepreneurial British Asians. Whilst there’s an extraordinary story to be told in the success and future plans of Missguided, there’s a cost beyond the price tag. The company must address the way it operates globally, and how to move forward in an everchanging, ever-ethical clothing industry."
s660,TV Show,Into,,,,"June 1, 2021",2020,,1 Season,Documentaries,Documentary on the world of BDSM and kink.
s661,Movie,Last Chance Harvey,,,,"June 1, 2021",2008,PG-13,93 min,"Drama, Romance",Legendary Oscar(R) winners Dustin Hoffman and Emma Thompson star in this story of unexpected romance set in London.
s662,Movie,Revolutionary Road,,,,"June 1, 2021",2008,R,119 min,"Drama, Romance",'Titanic' stars Leonardo DiCaprio and Kate Winslet reteam in this acclaimed drama about a young couple's crumbling marriage in 1955.
s663,Movie,Rules Of Engagement,,,,"June 1, 2021",2000,R,128 min,"Black Stories, Comedy, Drama",Tommy Lee Jones and Samuel L. Jackson star in this riveting saga of a veteran Marine who is made the scapegoat of an ill-fated mission.
s664,Movie,Savage State,,,,"June 1, 2021",2019,,121 min,"Adventure, Drama","American Civil War breaks out and a family of French colonists decides to go back to France. Edmond, Madeleine, and their three daughters have to cross the whole country to reach New-York, led by the mysterious and dangerous mercenary, Victor."
s665,TV Show,Sex Party 101,,,,"June 1, 2021",2019,,1 Season,Documentaries,"An honest exploration of sex clubs, from etiquette standards to daily life. This documentary breaks taboos to search for the truth."
s666,Movie,Silence,,,,"June 1, 2021",2016,R,161 min,"Drama, History",SILENCE tells the story of two Christian missionaries who face the ultimate test of faith when they travel to Japan in search of their missing mentor – at a time when Christianity was outlawed and their presence forbidden.
s667,Movie,Switchback,,,,"June 1, 2021",1997,R,118 min,"Crime, Mystery, Thriller","Frank LaCrosse, an FBI agent, steps outside his job to find a brilliant serial killer who has kidnapped his son and becomes involved in a vicious game of cat and mouse."
s668,Movie,The Adventures of Tintin: The Secret of the Unicorn,,,,"June 1, 2021",2011,PG,107 min,"Action, Adventure, Family",Tintin and his friends discover directions to a sunken ship commanded by Capt. Haddock's ancestor and go off on a treasure hunt.
s669,Movie,The Cookout,,,United States,"June 1, 2021",2004,PG-13,88 min,"Black Stories, Comedy, Drama","NBA draftee, Todd Anderson, throws an old-fashioned cookout in his new upscale neighborhood."
s670,Movie,The Love Letter,,,,"June 1, 2021",1999,PG-13,87 min,"Comedy, Drama, Romance","In a small town where everyone knows everyone else's business, an anonymous love letter to an unknown person sends comedic, romantic sparks through several lonely people. With Ellen DeGeneres."
s671,Movie,The Time Machine,,,,"June 1, 2021",2002,PG-13,96 min,"Action, Adventure, Science Fiction","After the sudden and unexpected death of his fiancee spurs Alexander Hartdegen, a scientist, professor and inventor to build a time machine, which he hopes to use in an effort to change the past."
s672,Movie,To Die For,,,,"June 1, 2021",1995,R,106 min,"Comedy, Drama, Thriller","Nicole Kidman is astounding as a newswoman dead-set on making it onto the small screen, whether herhusband wants her there or not."
s673,Movie,Walking Tall,,,,"June 1, 2021",1973,R,125 min,"Action, Adventure, Crime","Based on true events in the life of Tennessee sheriff Buford Pusser, who ""removes"" corruption in his county with a four-foot-long wooden club."
s674,Movie,Wayne's World 2,,,United States,"June 1, 2021",1993,PG-13,95 min,"Comedy, Music","The success of their TV show allows Wayne Campbell and Garth Algar to finally move out of their parents' homes, but now they have to figure out what to do with their lives."
s675,Movie,Young Adult,,,United States,"June 1, 2021",2011,R,94 min,"Comedy, Drama, Romance","A divorced writer from the Midwest returns to her hometown to reconnect with an old flame, who's now married with a family."
s676,TV Show,Duncanville,,,United States,"May 31, 2021",2020,TV-14,2 Seasons,"Adult Animation, Comedy, Sitcom","“Duncanville” is centered around a spectacularly average 15-year-old boy with a rich fantasy life, and the people in his world."
s677,Movie,The Donut King,,,,"May 31, 2021",2020,,99 min,Documentaries,Everything you thought you knew about the donut begins with Ted Ngoy. This is the unlikely story of a Cambodian refugee arriving in America in 1975 and building a multi-million-dollar empire baking America’s favorite pastry.
s678,Movie,The World to Come,,,,"May 31, 2021",2020,R,105 min,"Drama, LGBTQ+, Romance","Abigail is a grieving wife whose life changes with the arrival of a new neighbor, Tallie. As the two women fall in love against the backdrop of the 19th century Northeast, their connection intensifies inciting jealousy from their husbands."
s679,Movie,Lavell Crawford: The Comedy Vaccine,,,,"May 28, 2021",2021,TV-MA,,"Comedy, Stand Up","Lavell Crawford focuses on COVID-19, mask culture and fatherhood."
s680,TV Show,My 600-lb Life,,,,"May 28, 2021",2014,TV-PG,2 Seasons,"Documentaries, Health & Wellness, Lifestyle & Culture","Follow the lives of morbidly obese individuals, each weighing over 600lbs. Through their year-long journeys, they attempt to lose thousands of pounds collectively, to survive. These stories are about much more than weight loss, they’re about heart."
s681,Movie,The Vigil,,,,"May 28, 2021",2019,PG-13,90 min,"Horror, Thriller","Called to stand watch overnight to a deceased member of his former Orthodox Jewish community, a young man comes to feel an inescapable supernatural presence in the house."
s682,TV Show,Unusual Suspects,,,United States,"May 28, 2021",2010,TV-14,8 Seasons,"Crime, Documentaries, Mystery","Just when you thought you knew who did it, a tip comes in that changes the direction of the case and shifts suspicions. Find out who really did it on Unusual Suspects."
s683,TV Show,Unusual Suspects: Deadly Intent,,,,"May 28, 2021",2017,,1 Season,"Crime, Documentaries, Drama","Unusual Suspects showcases some of the most daunting investigations in modern law enforcement. Each episode unfolds through first-person accounts of the police who worked the case, as well as emotional interviews with friends and family of the victim."
s684,TV Show,Crime Scene Kitchen,,,,"May 27, 2021",2021,TV-PG,1 Season,"Cooking & Food, Lifestyle & Culture, Reality",Bakers must decode what type of dessert was made using just crumbs and a few elusive clues.
s685,TV Show,Narco Wars,,,United Kingdom,"May 27, 2021",2020,TV-14,2 Seasons,"Crime, Documentaries, Drama",NARCO WARS explores how opportunistic smuggling networks in Latin America turned into powerful and ruthless drug cartels with unprecedented power.
s686,TV Show,Press Your Luck,,,United States,"May 27, 2021",2019,TV-PG,2 Seasons,"Game Shows, Reality",A game of wits as contestants avoid the WHAMMY.
s687,TV Show,"The $100,000 Pyramid",,,,"May 27, 2021",2016,TV-G,1 Season,"Game Shows, Reality","The Pyramid is back! ""The $100,000 Pyramid"" features 100 grand up for grabs each week when some of today's hottest stars team-up with players from across the country to take on the timeless war of words, racing against the clock to give and guess clues in one of TV's all-time great word-association games."
s688,TV Show,The Bachelor,,,United States,"May 27, 2021",1999,TV-14,2 Seasons,"Reality, Romance","ABC's highly-rated, popular romance reality series features a handsome bachelor looking for his soulmate from among 25 bachelorettes."
s689,TV Show,The Bold Type,,,United States,"May 27, 2021",2017,TV-14,5 Seasons,"Black Stories, Drama, Lifestyle & Culture","The Bold Type reveals a glimpse into the outrageous lives and loves of those responsible for the global women's magazine, ""Scarlet."" The rising generation of Scarlet women leans on one another as they find their own voices in a sea of intimidating leaders. Together they explore sexuality, identity, love and fashion."
s690,TV Show,After Floyd: The Year that Shook the World,,,,"May 26, 2021",2021,,1 Season,"Documentaries, News","A year after George Floyd’s death, ABC News looks back at its impact, from the extraordinary movement that swept the country to the racial reckoning that has touched nearly every corner of society."
s691,TV Show,Mike Tyson: The Knockout,,,,"May 26, 2021",2021,,1 Season,Documentaries,"Mike Tyson as you have not seen. ABC enters the ring with boxing legend, detailing his climb, crash and comeback."
s692,TV Show,Mr Inbetween,,,Australia,"May 26, 2021",2018,TV-MA,3 Seasons,"Crime, Drama","Hardened by the prison system and his experiences dealing with it, criminal for hire Ray Shoesmith learns how to deal with life in the real world away from the bars of prison, where actions always have consequences."
s693,TV Show,Baewatch: Parental Guidance,,,,"May 25, 2021",2019,,1 Season,Reality,"Self-styled “perfect” couples put their relationships to the test on a romantic getaway in the sun, without realizing that their families are the ones testing them. After two days the family members must come clean and share what they now really think of the couple but not before making them watch back every last embarrassing detail of their holiday romance."
s694,TV Show,Escape from the City,,,,"May 25, 2021",2019,,1 Season,Lifestyle & Culture,"A timely “how to” guide, packed full of expert advice and industry insights for those seeking a different way of life. A host guides a family, couple, or individual through their life-changing decision to escape the city and move to coastal, country, or regional Australia. Along the way they sample local delights and visit local attractions to get a feel for the area they are planning on moving to."
s695,TV Show,The Farmer Wants A Wife,,,,"May 25, 2021",2007,,4 Seasons,"Reality, Romance","Six single farmers embark on a quest to find romance and hopefully everlasting love. At each stage the heat is turned up, but eventually one lucky lady is chosen for each farmer. Will this be the end or the beginning of a new life together?"
s696,TV Show,The Ultimate Fighter,,,,"May 25, 2021",2013,TV-14,29 Seasons,"Reality, Sports",28 middleweights arrive in Las Vegas with their friends and family for a shot at a UFC contract.
s697,Movie,Vanguard,,,,"May 24, 2021",2020,,108 min,"Action, Thriller",Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.
s698,TV Show,Flatbush Misdemeanors,,,,"May 21, 2021",2021,TV-MA,1 Season,Comedy,"Rising comedians Dan Perlman and Kevin Iso play fictionalized versions of themselves: neighborhood best friends and urban millennials hilariously climbing the ladder to nowhere in the irreverent new comedy series FLATBUSH MISDEMEANORS. But even inside the losing, Dan and Kevin find there are little wins that come from tackling hipsters, mental health issues and the rising tide of gentrification."
s699,TV Show,Marvel's M.O.D.O.K.,,,,"May 21, 2021",2021,TV-MA,1 Season,"Adult Animation, Comedy, Science Fiction",Taking over the world has never felt farther away as the megalomaniacal super villain M.O.D.O.K. struggles to maintain control over his evil organization and his demanding family.
s700,Movie,Red Dawn,,,,"May 19, 2021",2012,PG-13,93 min,"Action, Adventure","The city of Spokane, Washington is awakened by a North Korean paratrooper invasion. Marine Corps veteran Jed Eckert and his civilian brother, Matt, unite with their friends to form a guerrilla resistance group to drive the invaders from their home."
s701,TV Show,Tulsa's Buried Truth,,,,"May 19, 2021",2021,,1 Season,"History, News",100 years ago a white mob destroyed a prosperous black neighborhood known as Black Wall Street.
s702,TV Show,My Little Pony: Pony Life en Español,,,,"May 18, 2021",2020,,1 Season,"Kids, Latino","¡Descubre el lado divertido de la amistad con My Little Pony: Pony Life! Así como van a la casa de una amiga después de la escuela, las ponys pasan la mayor parte del tiempo en Sugarcube Corner. Aquí, Pinkie Pie sirve pastelitos congelados a sus mejores clientes del mundo: ¡sus amigas! Juntas, las Mane 6 se encuentran con todo tipo de adivinanzas con pastelitos, glaseados desastrosos, deliciosos desastres y percances mágicos. Y gracias a una misteriosa fuente de pociones mágicas, las aventuras cotidianas se volverán desopilantes!"
s703,Movie,Supernova,,,,"May 18, 2021",2020,R,95 min,"Drama, LGBTQ+, Romance","Sam and Tusker are traveling across England, making the most of their time left together as a serious diagnosis tests their love."
s704,Movie,Supernova en Español,,,,"May 18, 2021",2020,R,95 min,"Drama, LGBTQ+, Romance","Sam y Tusker son pareja desde hace 20 años. Desde que a Tusker hace dos años le diagnosticaran alzheimer en su fase temprana, el tiempo que pasan juntos es lo más importante que tienen."
s705,TV Show,Death and Nightingales,,,,"May 16, 2021",2018,,1 Season,"Drama, History","Based on Eugene McCabe's modern Irish classic, `Death And Nightingales' is a riveting story of love, betrayal, deception and revenge, set in the beautiful haunting countryside of Fermanagh in 1885."
s706,Movie,A Perfect Ending,,,,"May 15, 2021",2012,,110 min,"Drama, LGBTQ+, Romance","From writer-director Nicole Conn comes the edge-of-your-seat lesbian glossy, sexy and fun romantic drama. When straight and married Rebecca seeks out the sexual services of high-priced call girl Paris she isn’t expecting to fall in love."
s707,Movie,ABC News Live Honors Asian Pacific American Heritage Month: Bridging Generations,,,,"May 15, 2021",2021,,,News,"A multi-generational panel led by Juju Chang discusses the galvanizing moment around standing up to anti-Asian hate, and what makes them proud to be Asian."
s708,Movie,Cowboys,,,,"May 15, 2021",2020,,86 min,"Action, Adventure, Drama","In Montana, a father tries to liberate his young transgender son by taking him to Canada, but as a frustrated female detective spearheads an investigation, she discovers that the child’s family situation is more complicated than she thought."
s709,TV Show,Galacticos,,,,"May 15, 2021",2021,,1 Season,Sports,This three-part documentary series charts Florentino Perez’ first term as president of Real Madrid and the Galactico revolution he oversaw to make Real Madrid the most glamorous and successful football club the world has ever seen.
s710,Movie,Good Kisser,,,,"May 15, 2021",2019,,75 min,"Comedy, Drama, LGBTQ+",Kate and Jenna want to spice up their relationship by opening it up to a third and plan a date with the enchanting Mia.
s711,Movie,LaLiga Center,,,,"May 15, 2021",2019,,,Sports,"A closer look at LaLiga's best goals, best U.S. players in league history, and more."
s712,TV Show,LaLiga Top Moments,,,,"May 15, 2021",2019,,1 Season,Sports,
s713,Movie,Mosquita y Mari,,,,"May 15, 2021",2012,,85 min,"Drama, LGBTQ+, Romance","This touching coming of age tale follows a pair of Latina teens in Southeast Los Angeles – straight A student Mosquita and struggling tough girl Mari – who begin studying together, then gradually fall in love."
s714,TV Show,Pride,,,,"May 15, 2021",2021,TV-MA,1 Season,"Documentaries, LGBTQ+","“PRIDE” is a six-part documentary series chronicling the struggle for LGBTQ+ civil rights in America from the 1950s through the 2000s. Six renowned LGBTQ+ directors explore heroic and heartbreaking stories that define us as a nation. The limited series spans the FBI surveillance of homosexuals during the 1950s Lavender Scare to the “Culture Wars” of the 1990s and beyond, exploring the queer legacy of the Civil Rights movement and the battle over marriage equality. The evolution of trans rights and identities through the decades is charted through interviews and archival footage of pioneers including Christine Jorgensen, Flawless Sabrina, Ceyenne Doroshow, Susan Stryker, Kate Bornstein, Dean Spade and Raquel Willis."
s715,Movie,Reaching for the Moon,,,,"May 15, 2021",2013,,114 min,"Documentaries, Drama, LGBTQ+",A chronicle of the complicated love affair between Pulitzer Prize-winning American poet (and lesbian) Elizabeth Bishop and acclaimed Brazilian architect Lota de Macedo Soares.
s716,Movie,The Mountain Between Us,,,,"May 15, 2021",2017,PG-13,112 min,"Adventure, Drama, Romance",Two strangers embark on a harrowing journey across the wilderness after their plane crashes in a remote mountain area.
s717,Movie,Tru Love,,,,"May 15, 2021",2013,,88 min,"Drama, LGBTQ+, Romance","Tru is a serial bed-hopping lesbian who cannot commit to a relationship or a job. Then she meets Alice, a beautiful widow and her good friend’s mother. Tru and Alice strike up an unlikely relationship."
s718,Movie,UFC 262,,,,"May 15, 2021",2021,,,Sports,UFC 262
s719,Movie,United States of LaLiga,,,,"May 15, 2021",2019,,,Sports,A showcase of unique stories about LaLiga fans across North America.
s720,Movie,MLK/FBI,,,,"May 14, 2021",2020,,106 min,"Black Stories, Documentaries","Based on recently declassified files, Oscar-nominated filmmaker Sam Pollard explores the US government's surveillance and harassment of Martin Luther King, Jr."
s721,Movie,Saint Maud,,,,"May 13, 2021",2019,R,85 min,Horror,"A newly devout hospice nurse, becomes obsessed with saving her dying patient's soul - but sinister forces, and her own sinful past, threaten to put an end to her holy calling."
s722,Movie,Some Kind of Heaven,,,,"May 13, 2021",2020,,83 min,Documentaries,"Behind the gates of a palm tree-lined fantasyland, four residents of America’s largest retirement community – The Villages, FL – strive to find happiness and meaning."
s723,TV Show,The Crime of the Century,,,,"May 11, 2021",2021,,1 Season,Documentaries,"Alex Gibney explores the origins, extent and fallout of America's opioid epidemic in this riveting two-part documentary."
s724,Movie,Robot & Frank,,,,"May 9, 2021",2012,PG-13,89 min,"Comedy, Drama, Science Fiction","Set in the near future, Robot & Franke is a buddy caper about an elderly ex-jewel thief and his new caretaker robot."
s725,Movie,Little Fish,,,,"May 7, 2021",2020,,101 min,"Drama, Romance, Science Fiction","As a memory loss virus runs rampant, one couple fights to hold their relationship together before the disease can erase all memory of their love in this sweeping sci-fi romance."
s726,TV Show,Eyewitness to a Pandemic,,,,"May 6, 2021",2020,,1 Season,Documentaries,"The horror of the COVID-19 pandemic blazed a devastating path around the world, but in the United States, the lethal destructiveness of COVID-19 would first visit New York City. Eyewitness News tells the story in the way that only New York's No. 1 News can in our docuseries, Eyewitness to a Pandemic. Eyewitness News reporter Jim Dolan offers an unflinching look at exactly what happened to New York and its people, at how they bravely faced menace and death, and at how they are marching forward into an uncertain new world, familiar yet full of risk."
s727,Movie,Looking For Lady Day,,,,"May 6, 2021",2021,,,Documentaries,"The Legend is wrong: Billie Holiday is neither from Baltimore nor Harlem, but Philadelphia, and throughout her life the city continued to draw her back. Its vibrant jazz scene was a refuge for her, first as a star and then when she was forced out of the spotlight of New York. But it was also the site of some her greatest hardship and humiliation, a place where she was hounded by the law, arrested repeatedly, and sentenced to prison in a trial that made headlines. 6abc’s Tamala Edwards brings Billie and her hometown jazz mecca to life. See the clubs where Lady Day performed, the stages where she sang, the places she lived, and learn why one song – Billie Holiday’s signature tune – brought the wrath of racist lawmen down on her, leaving her with few places where she could feel safe, and few people to trust. Looking for Lady Day: the complicated relationship a genius jazz legend had with the city where she was born."
