Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,State,PetID,PhotoAmt,AdoptionSpeed
Dog,å°é»,12,Mixed Breed,,1,Brown,,,2,1,2,1,2,1,250,Kuala Lumpur,976cd59b0,1,4
Dog,Darlie,1,Mixed Breed,,1,Black,,,2,1,2,2,2,1,0,Selangor,004a26127,2,3
Dog,,12,Mixed Breed,Mixed Breed,1,Brown,White,,2,1,3,3,3,1,0,Selangor,b6c338f94,4,4
Cat,Grey,4,Domestic Medium Hair,,1,Gray,,,2,2,2,2,2,1,0,Selangor,fa21ddfa3,5,2
Cat,San-kun,12,Tortoiseshell,,2,Black,Brown,Golden,1,2,1,1,1,1,300,Selangor,4e6750363,4,4
Cat,Paris,12,Domestic Short Hair,,2,Golden,White,,2,2,2,2,2,1,0,Kuala Lumpur,7238228b5,1,2
Dog,Dexter Jnr,3,Mixed Breed,Terrier,1,Cream,,,1,1,1,1,2,1,270,Selangor,8670bd551,5,1
Cat,Gaffey,36,American Wirehair,,1,Golden,,,3,2,3,1,2,2,0,Selangor,ffbc3eaaf,2,4
Cat,Bobo,2,Domestic Long Hair,,1,Black,White,,1,3,2,2,2,1,250,Selangor,06cc44fad,3,3
Dog,Terry Boy,2,Mixed Breed,Mixed Breed,1,Black,Brown,,2,1,1,1,2,1,0,Kuala Lumpur,fd3c1a3bb,3,1
Dog,Anson,1,Mixed Breed,,1,Black,Brown,,2,1,3,3,2,1,0,Selangor,2b0b80ef6,3,3
Cat,Grey,29,Domestic Short Hair,,1,Gray,,,2,1,1,1,1,1,30,Selangor,8dfc9cc69,4,3
Dog,Mink,1,Mixed Breed,,2,Black,Brown,White,2,1,2,2,2,1,0,Kuala Lumpur,d8be7f8b0,1,2
Dog,Zuzu,5,Spitz,Mixed Breed,2,Brown,White,,2,2,3,1,1,1,0,Selangor,0e80de8ac,1,2
Dog,Goofy,36,Poodle,,1,Cream,White,,1,2,1,1,1,1,200,Selangor,4a4fb4974,4,3
Dog,Hugo,14,Mixed Breed,,1,Black,Brown,,2,2,1,1,1,1,0,Kuala Lumpur,5b59ef7ee,2,4
Cat,Blueberry,1,Domestic Long Hair,Tabby,2,Black,White,,3,3,2,2,2,1,0,Selangor,ad002785c,9,3
Cat,Gaia (GRAY) URGENT!!!,1,Domestic Short Hair,Domestic Medium Hair,2,Gray,,,2,2,1,1,2,1,0,Selangor,002230dea,4,1
Cat,Black Head Boy,1,Domestic Medium Hair,,1,Black,White,,2,2,2,2,2,1,50,Selangor,ef638b9d9,6,2
Dog,Tiger,36,Mixed Breed,Mixed Breed,2,Black,Brown,Cream,2,2,1,1,1,1,0,Selangor,1d7e844a7,1,4
Cat,Sena,12,British Shorthair,Scottish Fold,2,Black,Golden,White,2,1,3,1,1,1,0,Pulau Pinang,67b1168ba,2,4
Dog,Yuan Yuan,6,Mixed Breed,,2,Black,White,,2,2,1,1,2,1,0,Selangor,41e069381,5,4
Dog,,96,Golden Retriever,,1,Golden,,,3,3,1,1,2,1,0,Kuala Lumpur,d1962ab4f,1,4
Cat,Butterball,3,Domestic Short Hair,,2,Brown,Golden,Cream,2,2,3,3,3,1,0,Kuala Lumpur,0063f83c9,4,1
Dog,Joos,17,Mixed Breed,,2,Black,Gray,,3,2,1,1,1,1,0,Selangor,0d6b8efdc,5,4
Cat,Marble,1,Domestic Medium Hair,,1,Black,Gray,,1,2,2,2,2,1,0,Kuala Lumpur,93dc36260,2,1
Cat,,12,Tuxedo,,1,Black,White,,1,1,3,3,3,2,0,Kuala Lumpur,f29aeba4e,1,4
Dog,Lucy Girl,6,Mixed Breed,,2,Black,,,2,2,2,1,1,1,0,Pulau Pinang,503a096e7,4,3
Cat,TACO,1,Domestic Medium Hair,,1,Yellow,White,,2,2,2,2,2,1,0,Kuala Lumpur,1facdfb28,5,1
Dog,Zone A2 P9,6,Mixed Breed,,1,Brown,Cream,,1,1,1,1,2,1,0,Selangor,206db8d8d,3,4
Dog,Playful Girl,1,Mixed Breed,,2,Golden,,,2,1,2,2,2,1,0,Selangor,599d24d23,1,3
Dog,2  Cute Puppies,1,Mixed Breed,,2,Brown,White,,2,2,1,3,2,1,0,Selangor,4f1d86875,4,4
Cat,Tam,3,Domestic Short Hair,,1,Black,,,2,1,2,2,2,1,0,Selangor,53cab4731,2,2
Cat,Ginger,4,Domestic Short Hair,,1,Golden,White,,2,1,1,1,2,1,0,Kuala Lumpur,10eea956d,7,1
Dog,Enna,2,Mixed Breed,,2,Black,White,,2,1,1,1,2,1,0,Selangor,62b9cb163,8,3
Cat,Baby,7,Calico,Tortoiseshell,2,Black,Yellow,White,2,1,1,1,2,1,0,Selangor,5bbc1017c,11,1
Dog,Ricky 08,1,Mixed Breed,,1,Black,Brown,,2,1,2,2,2,1,0,Perak,4a93b3e4e,1,2
Cat,,6,Domestic Short Hair,,2,Black,White,,2,1,3,3,3,1,0,Selangor,382b4212b,3,4
Dog,Copper,24,Mixed Breed,,1,Brown,,,1,2,1,1,2,1,0,Selangor,991eba9f9,5,3
Cat,Abby,8,Domestic Medium Hair,,2,Brown,Yellow,,2,2,3,3,1,1,0,Selangor,6ade0f2fe,3,4
Cat,Theodore,5,Tabby,Domestic Short Hair,2,Black,Yellow,White,3,2,2,2,2,1,0,Selangor,239495f90,1,3
Dog,Happy,120,Mixed Breed,,1,Brown,Golden,,2,2,3,3,3,2,0,Kuala Lumpur,8e2723a38,1,4
Dog,Dobber Puppy,2,Doberman Pinscher,,2,Black,,,3,1,1,1,2,1,600,Selangor,8f128d3ed,3,2
Dog,Bella,2,Mixed Breed,,2,Brown,Cream,Gray,2,1,2,2,2,1,0,Selangor,af514b027,3,1
Dog,Charlie Brown & Snoopy,3,Mixed Breed,Labrador Retriever,1,Brown,Cream,White,2,2,1,1,1,1,0,Perak,5cba5c76a,4,3
Dog,Henry,2,Mixed Breed,,1,Brown,Cream,,2,1,1,1,3,1,200,Pulau Pinang,a2cf852c0,4,1
Cat,Gretle,2,Domestic Medium Hair,,2,Gray,,,1,2,2,2,2,1,0,Selangor,8489f930c,1,3
Dog,Max,2,Mixed Breed,,1,Black,Brown,White,2,1,2,1,2,1,0,Selangor,a16c6d55d,2,1
Cat,Tee-Kus,3,Domestic Short Hair,,2,Gray,,,2,1,2,2,2,1,0,Selangor,cddbe627c,1,0
Cat,Golden Tabby Girl,1,Tabby,Domestic Short Hair,2,Brown,Golden,Cream,2,1,2,1,2,1,50,Selangor,dae13a47e,7,1
Cat,Hualulu,5,Silver,,2,Black,Yellow,White,1,1,1,1,1,1,0,Selangor,fe056693f,3,4
Cat,California,24,Calico,Domestic Short Hair,2,Golden,Gray,White,1,1,1,1,1,1,50,Kuala Lumpur,61d4dc56b,13,3
Dog,Ah Kao,18,Munsterlander,Munsterlander,1,Cream,White,,3,2,2,1,2,1,0,Kuala Lumpur,1a91262f6,3,2
Cat,Lost Kitten - Unknown,3,Oriental Long Hair,,2,Black,Brown,Cream,2,3,3,3,3,1,0,Kuala Lumpur,6bd434dc9,3,1
Dog,Dada,1,Labrador Retriever,Mixed Breed,2,Black,Brown,White,2,1,2,2,2,1,0,Kedah,f72d7a939,4,1
Dog,Boxer,15,Boxer,,1,Black,Brown,White,3,1,1,1,2,1,0,Selangor,779d50e4f,1,2
Dog,Angelina,8,Jack Russell Terrier,Mixed Breed,2,Brown,White,,2,1,1,1,1,1,0,Kuala Lumpur,ee93b2d47,8,3
Dog,Ginger,60,Pekingese,Shih Tzu,2,Brown,Golden,White,1,2,1,1,2,1,0,Selangor,8849d3fe9,5,2
Dog,Sport,96,Miniature Pinscher,,1,Brown,,,1,1,1,3,2,1,100,Selangor,143d10038,2,2
Cat,Katy Purry,12,Calico,Domestic Short Hair,2,Yellow,Gray,White,2,1,1,1,1,1,0,Pulau Pinang,2d3d873be,5,3
Cat,Swagger,3,Domestic Short Hair,,1,Black,White,,2,1,2,1,2,1,0,Kuala Lumpur,092fa68bd,14,2
Cat,Cheezie,5,Domestic Medium Hair,,2,Golden,White,,2,2,2,1,2,1,150,Pulau Pinang,a8a2aecc3,5,4
Dog,Milo Brown,2,Mixed Breed,,1,Brown,Golden,,2,1,2,1,2,1,0,Kuala Lumpur,a1390d450,2,2
Cat,Jayden,2,Domestic Short Hair,Domestic Short Hair,1,Brown,White,,1,1,3,3,1,1,0,Kuala Lumpur,12dce436d,3,2
Cat,Pets + Strays : BrownEye Blacky W,5,Domestic Short Hair,,2,Black,Gray,White,2,1,2,1,2,1,0,Kuala Lumpur,5bd859977,2,3
Dog,Jaeger,3,Belgian Shepherd Malinois,Mixed Breed,1,Black,Brown,,2,1,3,3,2,1,0,Selangor,0ede86b28,3,2
Dog,Melody,12,Mixed Breed,,2,Cream,,,1,1,1,2,2,1,0,Kuala Lumpur,392caeaed,2,4
Cat,Babe,17,Domestic Long Hair,,2,Black,,,2,3,1,1,2,1,0,Kuala Lumpur,22a7a8a13,5,1
Cat,Yellow,9,Domestic Short Hair,,2,Yellow,,,2,1,3,3,3,2,0,Selangor,45af03266,3,4
Dog,CNY3,1,Mixed Breed,Mixed Breed,1,Black,,,2,2,2,1,2,1,0,Selangor,1ba488d80,3,2
Cat,Cloudy,4,Domestic Short Hair,American Shorthair,2,Brown,Gray,White,1,1,2,1,2,1,0,Kuala Lumpur,96cbe1e48,4,3
Dog,Jumpy,3,Mixed Breed,,2,Black,Brown,Cream,2,2,1,1,2,1,0,Selangor,79ad78fc4,5,2
Dog,Puppy,3,Mixed Breed,,2,Brown,,,1,1,3,1,3,1,0,Selangor,a6239b2f3,1,2
Dog,Clowy,5,Jack Russell Terrier,Dalmatian,2,Black,Brown,White,2,1,3,3,2,1,0,Selangor,c240d153f,5,1
Dog,Samy,3,Mixed Breed,,1,Yellow,Cream,,2,1,1,1,2,1,100,Pulau Pinang,29b60faaa,1,4
Dog,Cutie Pie,2,Mixed Breed,,2,Black,Brown,White,2,2,2,2,2,1,0,Pulau Pinang,000a290e4,2,2
Dog,Bella,4,Mixed Breed,,2,Brown,,,3,2,3,3,2,1,0,Selangor,f6575f08d,2,4
Dog,Border Collie Mixed,2,Border Collie,Mixed Breed,2,Black,White,,2,3,1,1,1,1,0,Perak,67a68df4a,1,4
Dog,Rusty,2,Mixed Breed,,1,Brown,,,2,2,1,1,2,1,0,Selangor,2e1de0bba,1,2
Dog,Coda,7,Siberian Husky,,2,Gray,White,,3,2,1,1,2,1,1000,Pahang,0038c9343,5,2
Dog,ML,12,Chihuahua,Miniature Pinscher,2,Black,Golden,,1,1,3,3,3,1,0,Kuala Lumpur,68046ca33,2,3
Dog,...,1,Mixed Breed,,2,Brown,Golden,,2,1,2,2,2,1,150,Kuala Lumpur,18cd75354,1,2
Cat,Snowy,14,Domestic Short Hair,,2,Brown,White,,2,1,1,1,1,1,0,Selangor,03e429963,3,4
Dog,â¥ Borhan Jr. â¥,4,Labrador Retriever,Mixed Breed,1,Golden,Yellow,White,2,1,1,1,2,1,0,Selangor,19f0ef706,7,2
Dog,Rufio,18,Corgi,Mixed Breed,1,Cream,,,2,2,1,1,1,1,200,Selangor,07877aea7,2,2
Dog,Snow,2,Mixed Breed,,2,Golden,,,2,1,1,1,2,1,0,Selangor,322b32801,1,4
Cat,Simba,15,Tabby,,1,Yellow,White,,2,1,1,1,2,1,0,Kuala Lumpur,2a6884283,3,4
Dog,Angel,4,Mixed Breed,,2,Brown,Golden,,2,1,1,1,2,1,0,Selangor,97a10da78,2,2
Dog,VANILLA,27,Mixed Breed,,2,Brown,Yellow,White,2,1,1,1,2,1,0,Kuala Lumpur,f2f8667a2,7,2
Cat,Anya The Manja,19,Domestic Medium Hair,,2,Black,White,,2,2,1,1,1,1,150,Selangor,7ee6fe581,2,4
Dog,AS-Puppy-10,1,Mixed Breed,,2,Brown,,,2,2,2,2,2,1,0,Pulau Pinang,9ba39bba6,1,2
Dog,Nikki (temporary Name),12,Mixed Breed,,2,Brown,Cream,White,2,2,3,3,3,2,0,Negeri Sembilan,97b9ee40b,3,4
Dog,Cody,1,Mixed Breed,Mixed Breed,1,Black,Brown,Golden,2,1,2,2,2,1,20,Selangor,4fcd7cfe0,5,2
Dog,Cotton,8,Mixed Breed,,2,Yellow,Cream,White,2,2,1,1,2,1,0,Selangor,8528b3d49,3,4
Cat,Heng Heng,24,Domestic Short Hair,,1,Gray,White,,2,1,1,1,1,1,0,Selangor,f6f2f9424,5,2
Dog,Puppy 3,1,Mixed Breed,,2,Brown,,,2,1,2,1,2,1,0,Kuala Lumpur,8ac1e8eb6,1,3
Dog,Sweety,3,Mixed Breed,,2,Black,Brown,,2,1,1,1,2,1,0,Selangor,56e91b142,1,4
Dog,Fuji,1,Mixed Breed,,2,Black,Brown,,2,1,1,1,2,1,0,Selangor,8a04b2403,10,3
Dog,,36,Shih Tzu,,1,Brown,Cream,White,1,2,3,3,3,2,0,Selangor,ccdc0f862,4,2
Cat,Brownieâ¥,12,Domestic Short Hair,,2,Black,Brown,,1,1,3,3,3,1,0,Pulau Pinang,aeffc6dfd,1,4
Cat,Grey,3,Domestic Medium Hair,,2,Cream,Gray,White,2,2,1,2,2,1,0,Selangor,c37b2e740,3,2
Dog,Snowy,24,Mixed Breed,Mixed Breed,2,White,,,1,1,1,1,1,1,0,Selangor,169184766,3,2
Dog,Missy,36,Miniature Pinscher,,2,Black,Brown,Golden,1,1,1,1,2,1,0,Selangor,a0825ad18,1,0
Cat,Tumi,7,Domestic Short Hair,,2,Black,Brown,Yellow,2,1,1,1,2,1,0,Kuala Lumpur,eac15ca35,4,3
Dog,,2,Mixed Breed,,2,White,,,2,2,3,3,2,1,0,Selangor,8ac51d5ce,1,4
Dog,Happy,5,Mixed Breed,,2,Brown,,,2,1,1,1,1,1,0,Selangor,f8bf52aea,2,3
Cat,To Be Named By Owner,2,Siamese,Domestic Short Hair,1,Cream,Gray,,1,2,3,3,3,1,0,Kuala Lumpur,442822be3,4,1
Cat,Baby,5,Burmese,Siamese,2,Brown,Gray,White,2,2,2,1,2,1,0,Selangor,5d55a0cb3,3,1
Cat,Gigi,60,Calico,,2,Black,Golden,White,2,1,1,1,1,1,0,Selangor,9f5636404,10,3
Cat,Kitten For Adoption! 3,3,Domestic Medium Hair,,2,Gray,White,,1,2,1,1,2,1,0,Selangor,75fc7829e,2,1
Dog,Fairy,24,Mixed Breed,,2,Brown,,,1,1,1,1,1,1,0,Selangor,1e7159da4,5,4
Cat,Kittens,2,Domestic Short Hair,,1,Golden,Gray,White,1,2,2,1,2,1,0,Pulau Pinang,95af6f72b,2,1
Dog,Panda,3,Mixed Breed,,2,Black,Cream,,2,2,2,1,2,1,0,Selangor,434a2904c,5,2
Cat,Lulu,3,Domestic Short Hair,Domestic Short Hair,2,Black,Yellow,White,2,1,2,1,2,1,0,Selangor,d0d9596e3,5,4
Dog,Lil Kim,4,Mixed Breed,Mixed Breed,2,Black,,,2,1,1,1,2,1,0,Kuala Lumpur,7cd5e5195,3,3
Dog,3 Siblings (Female-Retriever Pups),3,Mixed Breed,Retriever,2,Black,Golden,Cream,3,2,1,1,2,1,0,Selangor,2fb24b53d,19,1
Cat,Bros,2,Domestic Short Hair,,1,Black,Yellow,White,2,1,2,2,2,1,50,Selangor,737069cee,3,1
Dog,Summer Girl,2,Mixed Breed,,2,Brown,Cream,White,2,2,1,1,2,1,100,Selangor,1940b59e7,1,2
Dog,Xiao Xiao,3,Mixed Breed,,2,Cream,,,1,1,1,1,2,1,0,Selangor,f69bd4b27,6,3
Dog,Wesley,24,Terrier,Mixed Breed,1,Golden,,,2,2,2,2,2,1,20,Pulau Pinang,ff5ea4f84,2,4
Dog,,2,Mixed Breed,,2,Brown,,,2,2,3,3,3,1,0,Melaka,660cd67ed,1,4
Dog,Annabella,2,Mixed Breed,Terrier,2,Black,Golden,,2,2,1,1,2,1,0,Selangor,cf162bb42,2,1
Dog,Doo Doo,7,Mixed Breed,,2,Black,Brown,Cream,2,1,1,1,1,1,0,Selangor,386e1a0fd,5,2
Dog,Canon,1,Mixed Breed,,1,Brown,,,2,1,2,2,2,1,20,Pulau Pinang,155e1f0ca,1,2
Cat,Awang,12,Domestic Medium Hair,,1,Golden,White,,2,2,2,1,2,1,50,Selangor,6dd6363f0,3,2
Dog,Twila (puppy From Klang),3,Mixed Breed,,2,Golden,,,2,2,1,2,2,1,0,Selangor,7a31d17c7,1,4
Dog,Karishma,0,Mixed Breed,,2,White,,,3,1,1,1,1,1,0,Selangor,5bd3c6eee,1,2
Dog,Elle / Good Morning Sir,12,Mixed Breed,,2,Black,Yellow,White,2,1,1,1,1,1,0,Kuala Lumpur,861c903b6,2,4
Cat,,2,Domestic Short Hair,,1,Black,Brown,,2,1,1,1,2,1,70,Selangor,3cae1b9ae,1,2
Cat,Brumby,2,Tabby,,1,Black,White,,2,1,2,1,2,1,0,Selangor,ba16888d7,2,2
Cat,ChaoChao,3,Tuxedo,,1,Black,White,,1,1,1,1,2,1,0,Selangor,775da0afe,3,4
Dog,Bruno,18,Poodle,,1,Brown,Golden,,1,2,1,1,2,1,0,Kuala Lumpur,7b6f894a1,1,1
Dog,Ella,2,Mixed Breed,,2,Gray,White,,2,1,2,2,2,1,20,Pulau Pinang,728ed1c0e,1,2
Cat,Pwinches Vivi,2,Tabby,,2,Brown,Yellow,Gray,1,1,2,1,2,1,0,Selangor,e89b02af3,5,2
Dog,HAZEL,3,Mixed Breed,Weimaraner,2,Brown,,,2,2,2,1,1,1,50,Selangor,3f38aabf4,6,3
Cat,Twenitu,2,Domestic Short Hair,,1,Gray,White,,2,1,1,2,2,1,0,Pahang,bb2808ff8,3,1
Cat,Siamese Kitten,2,Siamese,,2,Cream,,,2,1,2,2,2,1,0,Selangor,f7d93d4e8,2,1
Dog,BBear,1,Mixed Breed,,2,Black,Brown,Gray,2,2,2,2,2,1,0,Selangor,289d0bc8a,4,2
Cat,Silver Tabby,2,Domestic Short Hair,Domestic Medium Hair,2,Gray,White,,2,1,2,2,2,1,50,Selangor,51d815775,4,1
Dog,Rooney,18,Jack Russell Terrier,,2,Brown,White,,1,1,1,1,2,1,0,Kuala Lumpur,8335d65e0,1,2
Cat,Neko-chan,2,Domestic Short Hair,Domestic Medium Hair,1,Gray,White,,2,1,1,2,2,1,100,Kuala Lumpur,90ce48a71,3,2
Cat,Jellybean,2,Domestic Short Hair,,1,Black,Gray,White,1,1,1,1,2,2,0,Selangor,2e41f018c,26,3
Dog,Mr. Xiao Hei,3,Mixed Breed,Mixed Breed,1,Black,,,2,1,2,1,2,1,0,Johor,8d1dce21f,3,1
Dog,Queen Queen (Fei Po),36,Rottweiler,Mixed Breed,2,Black,,,3,1,3,3,3,1,350,Selangor,628a224b2,1,4
Dog,4 Puppies - Wire-Haired Terrier Mix,2,Wirehaired Terrier,,2,Brown,White,,2,2,1,1,2,1,0,Selangor,1303e86df,2,2
Cat,Layla,60,Calico,,2,Black,Golden,White,2,2,1,1,1,1,0,Kuala Lumpur,4a5a02164,1,3
Cat,Maya,4,Ocicat,Singapura,2,Black,Gray,,2,1,1,1,1,1,0,Selangor,0cd8ca49f,3,1
Dog,Bubbles,12,English Cocker Spaniel,,2,Brown,Golden,,1,2,1,1,1,1,0,Kuala Lumpur,752b2d9c5,4,1
Dog,Yahoo,5,Mixed Breed,,2,Yellow,Cream,White,2,1,1,1,2,1,0,Pulau Pinang,eb6bb82fd,11,4
Cat,Beemo The Kitten,1,Domestic Short Hair,,2,Gray,White,,2,1,2,2,2,1,0,Selangor,9af3fec83,5,1
Cat,Felix #1,11,Domestic Long Hair,,1,Black,White,,2,1,2,2,2,1,50,Selangor,4bd8b2b8d,2,4
Dog,Cliptec(Shorty),1,Mixed Breed,,2,Brown,,,2,1,2,1,2,1,0,Kuala Lumpur,0691034ac,8,3
Dog,Popcorn,4,Labrador Retriever,Husky,2,Cream,,,2,1,1,1,2,1,0,Selangor,8483b2161,3,2
Dog,Mr.Champ,12,Schnauzer,,1,Cream,Gray,White,2,2,1,1,3,1,500,Selangor,90f1bb168,1,1
Dog,Samson Boy,2,Mixed Breed,,1,Black,Brown,,2,1,1,1,2,1,0,Selangor,0e6492f0d,4,4
Cat,Jerry,10,Siamese,Persian,1,Cream,White,,3,2,2,2,3,1,0,Selangor,2e989d559,3,0
Cat,Zalora,5,Domestic Short Hair,,2,Black,Brown,Gray,1,1,1,1,3,1,0,Johor,e29ff1448,2,3
Dog,Bi Bi,2,Mixed Breed,,2,Black,Brown,Cream,2,1,1,1,2,1,0,Selangor,c5ee96818,2,2
Dog,Oreo,2,Mixed Breed,,1,Brown,,,2,2,3,3,2,1,0,Selangor,813db4d5a,5,3
Cat,Whitie,3,Tiger,,2,Black,White,,1,1,3,3,3,1,0,Selangor,756eaf5eb,7,2
Cat,Pets + Strays : Blacky Lost Tail,3,Domestic Short Hair,,2,Black,,,2,1,3,3,3,1,0,Kuala Lumpur,76a8ffac4,1,3
Dog,Trixie,2,Mixed Breed,,2,Black,Brown,,2,1,1,1,1,1,0,Selangor,6ff9b83f0,1,2
Dog,Snowy (american Cocker Spaniel),1,American Water Spaniel,,2,White,,,2,3,2,2,2,1,0,Kuala Lumpur,3b901ae31,4,4
Cat,Lucy,6,Domestic Short Hair,,2,Black,Brown,Golden,1,1,1,1,1,1,30,Kuala Lumpur,9fc14401a,1,3
Dog,MAPLE,4,Mixed Breed,,2,Cream,,,2,1,1,1,2,1,0,Selangor,a83683f66,4,3
Dog,Bella,12,Cocker Spaniel,,2,Brown,Golden,Cream,2,3,1,1,2,1,0,Selangor,e0ee00f9a,2,1
Dog,Golden Retriever Mixed,4,Golden Retriever,Mixed Breed,2,Brown,,,2,3,1,1,1,1,0,Perak,c9c023b3e,2,4
Cat,Lucy,16,Domestic Medium Hair,,2,Gray,,,3,2,1,1,1,1,0,Kuala Lumpur,308a16b6e,2,4
Cat,Eddie,2,Siamese,Domestic Short Hair,1,Brown,White,,1,1,2,1,2,1,100,Selangor,cc42556cb,5,1
Dog,Love Puppy 2,2,Mixed Breed,,2,Black,Brown,Cream,2,2,3,3,1,1,0,Kuala Lumpur,42103b22e,5,4
Cat,VALERIE,2,Domestic Short Hair,,2,Gray,,,2,2,2,1,2,1,0,Kuala Lumpur,82f899eaf,19,3
Cat,Golden,4,Domestic Short Hair,,1,Yellow,White,,1,1,2,1,2,1,0,Perak,48a3fe4ac,4,3
Cat,Be Be,2,Domestic Medium Hair,,2,Black,Cream,,2,2,2,2,2,1,0,Selangor,a0bcee7e2,4,1
Cat,Robin The Cat,4,Domestic Medium Hair,,1,Gray,,,2,2,2,2,2,1,0,Selangor,4e0a9cfec,3,4
Cat,Luna,9,Siamese,,2,Brown,Cream,,2,2,1,1,1,1,0,Kuala Lumpur,1b6d1b049,3,1
Cat,Keiko,2,Domestic Short Hair,Tabby,2,Brown,,,2,1,2,2,2,2,15,Selangor,d51de36a1,1,2
Dog,Marmalade,24,Mixed Breed,,2,Golden,,,2,1,1,1,1,1,0,Selangor,79ef1fd27,7,4
Dog,DJ,3,Mixed Breed,,1,Brown,,,2,2,1,1,2,1,0,Selangor,9a7474fd8,2,0
Dog,Bouncy,2,Mixed Breed,,2,Brown,,,2,2,3,3,3,1,0,Selangor,b78b30c18,4,3
Dog,Gigi,24,Golden Retriever,,2,Golden,,,3,2,1,1,2,1,400,Kuala Lumpur,e470b6bd3,24,3
Dog,C3C,2,Mixed Breed,Mixed Breed,2,Brown,,,2,2,2,1,2,1,0,Selangor,111be067f,3,3
Dog,Blacky,2,Labrador Retriever,,1,Black,Brown,White,2,2,3,1,3,2,150,Kuala Lumpur,5bfbb098d,4,1
Dog,,9,Poodle,,1,Black,White,,1,2,1,2,2,1,10,Pulau Pinang,07bd5a7a9,1,4
Dog,Nikolai,36,Terrier,Poodle,1,Black,Cream,Gray,2,2,1,1,1,1,200,Selangor,375794bcb,2,3
Dog,ONYX,1,Mixed Breed,,2,Black,,,2,1,2,2,2,1,0,Selangor,3013d9169,1,2
Dog,Joy-Joy,1,Terrier,Mixed Breed,2,Brown,White,,2,1,1,1,2,1,0,Selangor,3feae3fb7,7,3
Dog,Puppy,6,Mixed Breed,,2,Brown,,,2,1,1,1,2,2,0,Kuala Lumpur,01e4020da,4,2
Cat,Blackie,3,Domestic Short Hair,,1,Black,,,1,1,2,1,2,1,0,Kuala Lumpur,1929d8aea,1,1
Cat,Vanila,1,Persian,Domestic Medium Hair,1,Cream,,,2,3,2,1,2,1,100,Selangor,4a02b467d,9,1
Cat,,2,Domestic Short Hair,,1,Brown,Golden,White,2,1,2,1,1,1,0,Selangor,767be5091,4,1
Cat,Tigger,2,Domestic Short Hair,,1,Black,Brown,,2,1,2,2,2,1,0,Kuala Lumpur,2ab616a68,2,1
Dog,Pepperee,12,Mixed Breed,,2,Black,White,,1,1,2,2,2,1,0,Kuala Lumpur,21415ffb9,5,4
Dog,Mimi,18,Mixed Breed,,2,Brown,White,,2,2,1,1,1,1,0,Perak,07914c759,7,4
Cat,Jackie Boy,5,Domestic Medium Hair,,1,Black,,,2,2,1,1,1,1,150,Kuala Lumpur,d4ec04b8e,20,4
Cat,Kirk,24,Domestic Short Hair,,1,Black,Brown,,2,1,3,1,1,1,0,Selangor,63ba3f4a7,2,4
Dog,Faith,8,Terrier,Mixed Breed,2,Black,Brown,White,2,2,1,1,2,1,0,Selangor,77c9c2e64,7,2
Dog,Daisy,2,Black Labrador Retriever,Mixed Breed,2,Black,,,2,1,3,3,2,1,0,Selangor,212157776,4,2
Dog,Ocha,12,Mixed Breed,,1,Brown,White,,2,1,3,3,1,1,0,Selangor,5264d253b,4,3
Cat,,5,Singapura,,2,Gray,White,,2,2,2,2,2,1,0,Kuala Lumpur,1ed55129a,2,1
Cat,Hiren (Thanx Haziq),1,Domestic Short Hair,,2,Black,Golden,White,2,2,3,3,3,1,0,Selangor,5ef34251f,4,0
Dog,Rocky,2,Golden Retriever,,1,Brown,Cream,,1,2,3,3,3,1,0,Selangor,06ed12b93,3,0
Cat,Baby,7,Domestic Medium Hair,,2,White,,,2,2,1,1,2,1,100,Selangor,3cf0fcd34,3,1
Cat,Mama Kin (Urgent!),12,Domestic Short Hair,,2,Black,Gray,White,2,1,2,2,2,1,0,Kuala Lumpur,b6fbfa344,12,2
Cat,Garfu,8,Tabby,,1,Black,Gray,White,1,1,1,1,1,1,0,Selangor,3eee4f608,4,2
Dog,,72,Mixed Breed,,1,Cream,,,2,1,1,3,2,1,0,Pulau Pinang,8106b5f6f,1,3
Cat,Nikko,6,Domestic Short Hair,,1,Brown,White,,1,1,2,1,2,1,0,Perak,2275c7ba3,5,4
Cat,K I T T Y,24,American Shorthair,,2,Brown,Golden,Cream,2,1,1,1,1,1,0,Kuala Lumpur,37fdaf339,6,1
Dog,Julie,24,Spitz,Mixed Breed,2,Black,Brown,White,2,2,2,2,1,1,0,Selangor,39818f12c,3,4
Dog,Snowflake,108,Golden Retriever,Spitz,2,Golden,Cream,White,2,2,1,2,3,1,0,Selangor,ccd36a0f2,1,4
Cat,Pity,4,Tabby,,2,Black,Gray,White,1,2,2,2,2,1,0,Sarawak,e9cfb355a,1,4
Cat,Suzy,18,Domestic Short Hair,,2,Black,White,,2,1,2,2,2,2,0,Selangor,fe09dbb56,5,3
Dog,Cute Puppy,4,Mixed Breed,Rottweiler,1,Black,Brown,,2,1,3,3,2,1,0,Kuala Lumpur,c2fc23444,6,3
Dog,Max,5,Mixed Breed,,1,Brown,White,,2,1,1,1,2,1,0,Johor,531452675,5,4
Cat,Kitty K.,24,Domestic Medium Hair,,2,Black,White,,2,2,1,1,1,1,0,Kuala Lumpur,418e88441,3,4
